token,lemma,pos
.,.,PUNCT
This,this,DET
sounded,sound,VERB
familiar,familiar,ADJ
",",",",PUNCT
so,so,ADV
he,he,PRON
sauntered,saunter,VERB
in,in,ADP
and,and,CCONJ
took,take,VERB
a,a,DET
seat,seat,NOUN
on,on,ADP
a,a,DET
high,high,ADJ
stool,stool,NOUN
.,.,PUNCT
"""","""",PUNCT
Chocolate,chocolate,NOUN
sundae,sunda,NOUN
",",",",PUNCT
"""","""",PUNCT
he,he,PRON
told,tell,VERB
a,a,DET
colored,colored,VERB
person,person,NOUN
.,.,PUNCT
"""","""",PUNCT
Double,double,ADJ
chocolate,chocolate,NOUN
jiggah,jiggah,NOUN
?,?,PUNCT
Anything,anything,PRON
else,else,ADJ
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Why,why,ADV
--,--,PUNCT
yes,yes,INTJ
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Bacon,Bacon,NOUN
bun,bun,NOUN
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Why,why,ADV
--,--,PUNCT
yes,yes,INTJ
.,.,PUNCT
"""","""",PUNCT
He,he,PRON
munched,munch,VERB
four,four,NUM
of,of,ADP
these,these,PRON
",",",",PUNCT
finding,finde,VERB
them,they,PRON
of,of,ADP
pleasing,pleasing,ADJ
savor,savor,NOUN
",",",",PUNCT
and,and,CCONJ
then,then,ADV
consumed,consume,VERB
another,another,DET
double,double,ADJ
-,-,PUNCT
chocolate,chocolate,NOUN
jigger,jigger,NOUN
before,before,ADP
ease,ease,NOUN
descended,descend,VERB
upon,upon,ADP
him,he,PRON
.,.,PUNCT
After,after,ADP
a,a,DET
cursory,cursory,NOUN
inspection,inspection,NOUN
of,of,ADP
the,the,DET
pillow,pillow,NOUN
-,-,PUNCT
cases,case,NOUN
",",",",PUNCT
leather,leather,NOUN
pennants,pennant,NOUN
",",",",PUNCT
and,and,CCONJ
Gibson,Gibson,PROPN
Girls,girls,PROPN
that,that,PRON
lined,line,VERB
the,the,DET
walls,wall,NOUN
",",",",PUNCT
he,he,PRON
left,leave,VERB
",",",",PUNCT
and,and,CCONJ
continued,continue,VERB
along,along,ADP
Nassau,Nassau,PROPN
Street,Street,PROPN
with,with,ADP
his,he,PRON
hands,hand,NOUN
in,in,ADP
his,he,PRON
pockets,pocket,NOUN
.,.,PUNCT
Gradually,gradually,ADV
he,he,PRON
was,be,AUX
learning,learn,VERB
to,to,ADP
distinguish,distinguish,ADJ
between,between,ADP
upper,upper,ADJ
classmen,classman,NOUN
and,and,CCONJ
entering,enter,VERB
men,man,NOUN
",",",",PUNCT
even,even,ADV
though,though,SCONJ
the,the,DET
freshman,freshman,ADJ
cap,cap,NOUN
would,would,AUX
not,not,PART
appear,appear,VERB
until,until,ADP
the,the,DET
following,follow,VERB
Monday,Monday,PROPN
.,.,PUNCT
Those,those,PRON
who,who,PRON
were,be,AUX
too,too,ADV
obviously,obviously,ADV
",",",",PUNCT
too,too,ADV
nervously,nervously,ADV
at,at,ADP
home,home,NOUN
were,be,AUX
freshmen,freshmen,ADJ
",",",",PUNCT
for,for,ADP
as,as,ADP
each,each,DET
train,train,NOUN
brought,bring,VERB
a,a,DET
new,new,ADJ
contingent,contingent,NOUN
it,it,PRON
was,be,AUX
immediately,immediately,ADV
absorbed,absorb,VERB
into,into,ADP
the,the,DET
hatless,hatless,NOUN
",",",",PUNCT
white,white,ADJ
-,-,PUNCT
shod,shod,NOUN
",",",",PUNCT
book,book,NOUN
-,-,PUNCT
laden,laden,ADJ
throng,throng,NOUN
",",",",PUNCT
whose,whose,PRON
function,function,NOUN
seemed,seem,VERB
to,to,PART
be,be,VERB
to,to,PART
drift,drift,VERB
endlessly,endlessly,ADV
up,up,ADV
and,and,CCONJ
down,down,ADP
the,the,DET
street,street,NOUN
",",",",PUNCT
emitting,emit,VERB
great,great,ADJ
clouds,clouds,NOUN
of,of,ADP
smoke,smoke,NOUN
from,from,ADP
brand,brand,ADV
-,-,PUNCT
new,new,ADJ
pipes,pipe,NOUN
.,.,PUNCT
By,by,ADP
afternoon,afternoon,NOUN
Amory,Amory,PROPN
realized,realize,VERB
that,that,SCONJ
now,now,ADV
the,the,DET
newest,newest,ADJ
arrivals,arrival,NOUN
were,be,AUX
taking,take,VERB
him,he,PRON
for,for,ADP
an,a,DET
upper,upper,ADJ
classman,classman,NOUN
",",",",PUNCT
and,and,CCONJ
he,he,PRON
tried,try,VERB
conscientiously,conscientiously,ADV
to,to,PART
look,look,VERB
both,both,DET
pleasantly,pleasantly,ADJ
blase,blase,NOUN
and,and,CCONJ
casually,casually,ADV
critical,critical,ADJ
",",",",PUNCT
which,which,PRON
was,be,AUX
as,as,ADV
near,near,ADJ
as,as,SCONJ
he,he,PRON
could,could,AUX
analyze,analyze,VERB
the,the,DET
prevalent,prevalent,ADJ
facial,facial,ADJ
expression,expression,NOUN
.,.,PUNCT
At,at,ADP
five,five,NUM
o'clock,o'clock,NOUN
he,he,PRON
felt,feel,VERB
the,the,DET
need,need,NOUN
of,of,SCONJ
hearing,hear,VERB
his,he,PRON
own,own,ADJ
voice,voice,NOUN
",",",",PUNCT
so,so,SCONJ
he,he,PRON
retreated,retreat,VERB
to,to,ADP
his,he,PRON
house,house,NOUN
to,to,PART
see,see,VERB
if,if,SCONJ
any,any,DET
one,one,NOUN
else,else,ADV
had,have,AUX
arrived,arrive,VERB
.,.,PUNCT
Having,have,PROPN
climbed,climb,VERB
the,the,DET
rickety,rickety,NOUN
stairs,stair,NOUN
he,he,PRON
scrutinized,scrutinize,VERB
his,he,PRON
room,room,NOUN
resignedly,resignedly,ADV
",",",",PUNCT
concluding,conclude,VERB
that,that,SCONJ
it,it,PRON
was,be,AUX
hopeless,hopeless,ADJ
to,to,PART
attempt,attempt,VERB
any,any,DET
more,more,ADV
inspired,inspired,ADJ
decoration,decoration,NOUN
than,than,ADP
class,class,NOUN
banners,banner,NOUN
and,and,CCONJ
tiger,tiger,NOUN
pictures,picture,NOUN
.,.,PUNCT
There,there,PRON
was,be,AUX
a,a,DET
tap,tap,NOUN
at,at,ADP
the,the,DET
door,door,NOUN
.,.,PUNCT
"""","""",PUNCT
Come,come,VERB
in,in,ADV
!,!,PUNCT
"""","""",PUNCT
A,a,DET
slim,slim,ADJ
face,face,NOUN
with,with,ADP
gray,gray,ADJ
eyes,eyes,NOUN
and,and,CCONJ
a,a,DET
humorous,humorous,ADJ
smile,smile,NOUN
appeared,appear,VERB
in,in,ADP
the,the,DET
doorway,doorway,NOUN
.,.,PUNCT
"""","""",PUNCT
Got,get,VERB
a,a,DET
hammer,hammer,NOUN
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
No,no,INTJ
--,--,PUNCT
sorry,sorry,INTJ
.,.,PUNCT
Maybe,maybe,ADV
Mrs.,Mrs.,PROPN
Twelve,twelve,PROPN
",",",",PUNCT
or,or,CCONJ
whatever,whatever,DET
she,she,PRON
goes,go,VERB
by,by,ADV
",",",",PUNCT
has,have,VERB
one,one,NUM
.,.,PUNCT
"""","""",PUNCT
The,the,DET
stranger,stranger,NOUN
advanced,advance,VERB
into,into,ADP
the,the,DET
room,room,NOUN
.,.,PUNCT
"""","""",PUNCT
You,you,PRON
an,a,DET
inmate,inmate,NOUN
of,of,ADP
this,this,DET
asylum,asylum,NOUN
?,?,PUNCT
"""","""",PUNCT
Amory,Amory,DET
nodded,nod,NOUN
.,.,PUNCT
"""","""",PUNCT
Awful,awful,ADJ
barn,barn,NOUN
for,for,ADP
the,the,DET
rent,rent,NOUN
we,we,PRON
pay,pay,VERB
.,.,PUNCT
"""","""",PUNCT
Amory,Amory,PROPN
had,have,VERB
to,to,PART
agree,agree,VERB
that,that,SCONJ
it,it,PRON
was,be,VERB
.,.,PUNCT
"""","""",PUNCT
I,I,PRON
thought,think,VERB
of,of,ADP
the,the,DET
campus,campus,NOUN
",",",",PUNCT
"""","""",PUNCT
he,he,PRON
said,say,VERB
",",",",PUNCT
"""","""",PUNCT
but,but,CCONJ
they,they,PRON
say,say,VERB
there,there,PRON
's,'s,VERB
so,so,ADV
few,few,ADJ
freshmen,freshmen,VERB
that,that,SCONJ
they,they,PRON
're,be,AUX
lost,lose,VERB
.,.,PUNCT
Have,have,VERB
to,to,PART
sit,sit,VERB
around,around,ADV
and,and,CCONJ
study,study,VERB
for,for,ADP
something,something,PRON
to,to,PART
do,do,VERB
.,.,PUNCT
"""","""",PUNCT
The,the,DET
gray,gray,ADJ
-,-,PUNCT
eyed,ey,ADJ
man,man,NOUN
decided,decide,VERB
to,to,PART
introduce,introduce,VERB
himself,himself,PRON
.,.,PUNCT
"""","""",PUNCT
My,my,PRON
name,name,NOUN
's,'s,PART
Holiday,holiday,PROPN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Blaine,Blaine,PRON
's,be,AUX
my,my,PRON
name,name,NOUN
.,.,PUNCT
"""","""",PUNCT
They,they,PRON
shook,shake,VERB
hands,hand,NOUN
with,with,ADP
the,the,DET
fashionable,fashionable,ADJ
low,low,ADJ
swoop,swoop,NOUN
.,.,PUNCT
Amory,Amory,PROPN
grinned,grin,VERB
.,.,PUNCT
"""","""",PUNCT
Where,where,ADV
'd,would,AUX
you,you,PRON
prep,prep,VERB
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Andover,Andover,PROPN
--,--,PUNCT
where,where,ADV
did,do,VERB
you,you,PRON
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
St,St,PROPN
.,.,PUNCT
Regis's,Regis's,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Oh,oh,INTJ
",",",",PUNCT
did,do,AUX
you,you,PRON
?,?,PUNCT
I,I,PRON
had,have,VERB
a,a,DET
cousin,cousin,NOUN
there,there,ADV
.,.,PUNCT
"""","""",PUNCT
They,they,PRON
discussed,discuss,VERB
the,the,DET
cousin,cousin,NOUN
thoroughly,thoroughly,ADV
",",",",PUNCT
and,and,CCONJ
then,then,ADV
Holiday,holiday,PROPN
announced,announce,VERB
that,that,SCONJ
he,he,PRON
was,be,VERB
to,to,PART
meet,meet,VERB
his,he,PRON
brother,brother,NOUN
for,for,ADP
dinner,dinner,NOUN
at,at,ADP
six,six,NUM
.,.,PUNCT
"""","""",PUNCT
Come,come,VERB
along,along,ADV
and,and,CCONJ
have,have,VERB
a,a,DET
bite,bite,NOUN
with,with,ADP
us,we,PRON
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
All,all,DET
right,right,ADJ
.,.,PUNCT
"""","""",PUNCT
At,at,ADP
the,the,DET
Kenilworth,Kenilworth,PROPN
Amory,Amory,PROPN
met,meet,VERB
Burne,Burne,PROPN
Holiday,holiday,PROPN
--,--,PUNCT
he,he,PRON
of,of,ADP
the,the,DET
gray,gray,ADJ
eyes,eye,NOUN
was,be,AUX
Kerry,Kerry,PROPN
--,--,PUNCT
and,and,CCONJ
during,during,ADP
a,a,DET
limpid,limpid,ADJ
meal,meal,NOUN
of,of,ADP
thin,thin,ADJ
soup,soup,NOUN
and,and,CCONJ
anaemic,anaemic,ADJ
vegetables,vegetable,NOUN
they,they,PRON
stared,sta,VERB
at,at,ADP
the,the,DET
other,other,ADJ
freshmen,freshman,NOUN
",",",",PUNCT
who,who,PRON
sat,sit,VERB
either,either,CCONJ
in,in,ADP
small,small,ADJ
groups,group,NOUN
looking,look,VERB
very,very,ADV
ill,ill,ADJ
at,at,ADP
ease,ease,NOUN
",",",",PUNCT
or,or,CCONJ
in,in,ADP
large,large,ADJ
groups,group,NOUN
seeming,seem,VERB
very,very,ADV
much,much,ADV
at,at,ADP
home,home,NOUN
.,.,PUNCT
"""","""",PUNCT
I,I,PRON
hear,hear,VERB
Commons,Commons,NOUN
is,be,AUX
pretty,pretty,ADV
bad,bad,ADJ
",",",",PUNCT
"""","""",PUNCT
said,say,VERB
Amory,Amory,PROPN
.,.,PUNCT
"""","""",PUNCT
That,that,PRON
's,be,AUX
the,the,DET
rumor,rumor,NOUN
.,.,PUNCT
But,but,CCONJ
you,you,PRON
've,have,AUX
got,get,VERB
to,to,PART
eat,eat,VERB
there,there,ADV
--,--,PUNCT
or,or,CCONJ
pay,pay,VERB
anyways,anyways,ADV
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Crime,crime,NOUN
!,!,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Imposition,Imposition,NOUN
!,!,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Oh,oh,INTJ
",",",",PUNCT
at,at,ADP
Princeton,Princeton,PROPN
you,you,PRON
've,have,AUX
got,get,VERB
to,to,PART
swallow,swallow,VERB
everything,everything,PRON
the,the,DET
first,first,ADJ
year,year,NOUN
.,.,PUNCT
It,it,PRON
's,be,AUX
like,like,ADP
a,a,DET
damned,damned,ADJ
prep,prep,NOUN
school,school,NOUN
.,.,PUNCT
"""","""",PUNCT
Amory,Amory,PROPN
agreed,agree,VERB
.,.,PUNCT
"""","""",PUNCT
Lot,lot,NOUN
of,of,ADP
pep,pep,NOUN
",",",",PUNCT
though,though,ADV
",",",",PUNCT
"""","""",PUNCT
he,he,PRON
insisted,insist,VERB
.,.,PUNCT
"""","""",PUNCT
I,I,PRON
would,would,AUX
n't,not,PART
have,have,AUX
gone,go,VERB
to,to,ADP
Yale,Yale,PROPN
for,for,ADP
a,a,DET
million,million,NUM
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Me,I,PRON
either,either,DET
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
You,you,PRON
going,go,VERB
out,out,ADP
for,for,ADP
anything,anything,PRON
?,?,PUNCT
"""","""",PUNCT
inquired,inquire,VERB
Amory,Amory,PROPN
of,of,ADP
the,the,DET
elder,elder,ADJ
brother,brother,NOUN
.,.,PUNCT
"""","""",PUNCT
Not,not,PART
me,I,PRON
--Burne,--Burne,NUM
here,here,ADV
is,be,AUX
going,go,VERB
out,out,ADP
for,for,ADP
the,the,DET
Prince,Prince,PROPN
--,--,PUNCT
the,the,DET
Daily,daily,PROPN
Princetonian,Princetonian,PROPN
",",",",PUNCT
you,you,PRON
know,know,VERB
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Yes,yes,INTJ
",",",",PUNCT
I,I,PRON
know,know,VERB
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
You,you,PRON
going,go,VERB
out,out,ADP
for,for,ADP
anything,anything,PRON
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Why,why,ADV
--,--,PUNCT
yes,yes,INTJ
.,.,PUNCT
I,I,PRON
'm,be,AUX
going,go,VERB
to,to,PART
take,take,VERB
a,a,DET
whack,whack,NOUN
at,at,ADP
freshman,freshman,ADJ
football,football,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Play,play,NOUN
at,at,ADP
St.,St.,PROPN
Regis,Regis,PROPN
's,'s,PART
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Some,some,DET
",",",",PUNCT
"""","""",PUNCT
admitted,admit,VERB
Amory,Amory,PROPN
depreciatingly,depreciatingly,ADV
",",",",PUNCT
"""","""",PUNCT
but,but,CCONJ
I,I,PRON
'm,be,AUX
getting,get,VERB
so,so,ADV
damned,damned,ADJ
thin,thin,ADJ
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
You,you,PRON
're,be,AUX
not,not,PART
thin,thin,ADJ
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Well,well,INTJ
",",",",PUNCT
I,I,PRON
used,use,VERB
to,to,PART
be,be,AUX
stocky,stocky,NOUN
last,last,ADJ
fall,fall,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Oh,oh,INTJ
!,!,PUNCT
"""","""",PUNCT
After,after,ADP
supper,supper,NOUN
they,they,PRON
attended,attend,VERB
the,the,DET
movies,movie,NOUN
",",",",PUNCT
where,where,ADV
Amory,Amory,PROPN
was,be,AUX
fascinated,fascinate,VERB
by,by,ADP
the,the,DET
glib,glib,ADJ
comments,comment,NOUN
of,of,ADP
a,a,DET
man,man,NOUN
in,in,ADP
front,front,NOUN
of,of,ADP
him,he,PRON
",",",",PUNCT
as,as,ADV
well,well,ADV
as,as,ADP
by,by,ADP
the,the,DET
wild,wild,ADJ
yelling,yelling,NOUN
and,and,CCONJ
shouting,shout,NOUN
.,.,PUNCT
"""","""",PUNCT
Yoho,Yoho,INTJ
!,!,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Oh,oh,INTJ
",",",",PUNCT
honey,honey,NOUN
-,-,PUNCT
baby,baby,NOUN
--,--,PUNCT
you,you,PRON
're,be,AUX
so,so,ADV
big,big,ADJ
and,and,CCONJ
strong,strong,ADJ
",",",",PUNCT
but,but,CCONJ
oh,oh,INTJ
",",",",PUNCT
so,so,ADV
gentle,gentle,ADJ
!,!,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Clinch,Clinch,NOUN
!,!,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Oh,oh,INTJ
",",",",PUNCT
Clinch,Clinch,PROPN
!,!,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Kiss,kiss,VERB
her,she,PRON
",",",",PUNCT
kiss,kiss,VERB
'at,'at,DET
lady,lady,NOUN
",",",",PUNCT
quick,quick,ADV
!,!,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Oh,oh,INTJ
-h-h,-h-h,INTJ
--,--,PUNCT
!,!,PUNCT
"""","""",PUNCT
A,a,DET
group,group,NOUN
began,begin,VERB
whistling,whistl,NOUN
"""","""",PUNCT
By,by,ADP
the,the,DET
Sea,Sea,NOUN
",",",",PUNCT
"""","""",PUNCT
and,and,CCONJ
the,the,DET
audience,audience,NOUN
took,take,VERB
it,it,PRON
up,up,ADP
noisily,noisily,ADV
.,.,PUNCT
This,this,PRON
was,be,AUX
followed,follow,VERB
by,by,ADP
an,a,DET
indistinguishable,indistinguishable,ADJ
song,song,NOUN
that,that,PRON
included,include,VERB
much,much,ADJ
stamping,stamping,NOUN
and,and,CCONJ
then,then,ADV
by,by,ADP
an,a,DET
endless,endless,ADJ
",",",",PUNCT
incoherent,incoherent,ADJ
dirge,dirge,NOUN
.,.,PUNCT
"""","""",PUNCT
Oh,oh,INTJ
-h,-h,INTJ
-h,-h,INTJ
-h,-h,INTJ
-h,-h,INTJ
She,she,PRON
works,work,VERB
in,in,ADP
a,a,DET
Jam,jam,PROPN
Factoree,Factoree,PROPN
And,and,CCONJ
--,--,PUNCT
that,that,PRON
-,-,PUNCT
may,may,AUX
-be-all-right,-be-all-right,ADJ
But,but,CCONJ
you,you,PRON
ca,can,AUX
n't,not,PART
-,-,PUNCT
fool,fool,VERB
-,-,PUNCT
me,I,PRON
For,for,CCONJ
I,I,PRON
know,know,VERB
--,--,PUNCT
DAMN,damn,NOUN
--,--,PUNCT
WELL,well,INTJ
That,that,SCONJ
she,she,PRON
DON'T,Don't,PART
-,-,PUNCT
make,make,VERB
-,-,PUNCT
jam,jam,NOUN
-,-,PUNCT
all,all,DET
-,-,PUNCT
night,night,NOUN
!,!,PUNCT
Oh,oh,INTJ
-,-,PUNCT
h,h,NOUN
-h,-h,NOUN
-h!,-h!,PUNCT
"""","""",PUNCT
As,as,SCONJ
they,they,PRON
pushed,push,VERB
out,out,ADP
",",",",PUNCT
giving,give,VERB
and,and,CCONJ
receiving,receive,VERB
curious,curious,ADJ
impersonal,impersonal,ADJ
glances,glance,NOUN
",",",",PUNCT
Amory,Amory,PROPN
decided,decide,VERB
that,that,SCONJ
he,he,PRON
liked,like,VERB
the,the,DET
movies,movie,NOUN
",",",",PUNCT
wanted,want,VERB
to,to,PART
enjoy,enjoy,VERB
them,they,PRON
as,as,ADP
the,the,DET
row,row,NOUN
of,of,ADP
upper,upper,ADJ
classmen,classman,NOUN
in,in,ADP
front,front,ADJ
had,have,AUX
enjoyed,enjoy,VERB
them,they,PRON
",",",",PUNCT
with,with,ADP
their,they,PRON
arms,arm,NOUN
along,along,ADP
the,the,DET
backs,back,NOUN
of,of,ADP
the,the,DET
seats,seat,NOUN
",",",",PUNCT
their,they,PRON
comments,comment,NOUN
Gaelic,Gaelic,ADJ
and,and,CCONJ
caustic,caustic,ADJ
",",",",PUNCT
their,they,PRON
attitude,attitude,NOUN
a,a,DET
mixture,mixture,NOUN
of,of,ADP
critical,critical,ADJ
wit,wit,NOUN
and,and,CCONJ
tolerant,tolerant,NOUN
amusement,amusement,NOUN
.,.,PUNCT
"""","""",PUNCT
Want,want,VERB
a,a,DET
sundae,sunda,NOUN
--,--,PUNCT
I,I,PRON
mean,mean,VERB
a,a,DET
jigger,jigger,NOUN
?,?,PUNCT
"""","""",PUNCT
asked,ask,VERB
Kerry,Kerry,PROPN
.,.,PUNCT
"""","""",PUNCT
Sure,sure,INTJ
.,.,PUNCT
"""","""",PUNCT
They,they,PRON
suppered,suppere,VERB
heavily,heavily,ADV
and,and,CCONJ
then,then,ADV
",",",",PUNCT
still,still,ADV
sauntering,saunter,VERB
",",",",PUNCT
eased,ease,VERB
back,back,ADV
to,to,ADP
12,12,NUM
.,.,PUNCT
"""","""",PUNCT
Wonderful,wonderful,ADJ
night,night,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
It,it,PRON
's,be,AUX
a,a,DET
whiz,whiz,NOUN
.,.,PUNCT
"""","""",PUNCT
"""","""",PUNCT
You,you,PRON
men,man,NOUN
going,go,VERB
to,to,PART
unpack,unpack,VERB
?,?,PUNCT
"""","""",PUNCT
"""","""",PUNCT
Guess,guess,VERB
so,so,ADV
.,.,PUNCT
Come,come,VERB
on,on,ADV
",",",",PUNCT
Burne,Burne,PROPN
.,.,PUNCT
"""","""",PUNCT
Amory,Amory,PROPN
decided,decide,VERB
to,to,PART
sit,sit,VERB
for,for,ADP
a,a,DET
while,while,NOUN
on,on,ADP
the,the,DET
front,front,ADJ
steps,step,NOUN
",",",",PUNCT
so,so,ADV
he,he,PRON
bade,bade,VERB
them,they,PRON
good,good,ADJ
night,night,NOUN
.,.,PUNCT
The,the,DET
great,great,ADJ
tapestries,tapestry,NOUN
of,of,ADP
trees,tree,NOUN
had,have,AUX
darkened,darken,VERB
to,to,PART
ghosts,ghost,VERB
back,back,ADV
at,at,ADP
the,the,DET
last,last,ADJ
edge,edge,NOUN
of,of,ADP
twilight,twilight,NOUN
.,.,PUNCT
The,the,DET
early,early,ADJ
moon,moon,NOUN
had,have,AUX
drenched,drench,VERB
the,the,DET
arches,arch,NOUN
with,with,ADP
pale,pale,NOUN
blue,blue,ADJ
",",",",PUNCT
and,and,CCONJ
",",",",PUNCT
weaving,weave,VERB
over,over,ADP
the,the,DET
night,night,NOUN
",",",",PUNCT
in,in,ADP
and,and,CCONJ
out,out,ADP
of,of,ADP
the,the,DET
gossamer,gossamer,NOUN
rifts,rift,NOUN
of,of,ADP
moon,moon,NOUN
",",",",PUNCT
swept,sweep,VERB
a,a,DET
song,song,NOUN
",",",",PUNCT
a,a,DET
song,song,NOUN
with,with,ADP
more,more,ADJ
than,than,ADP
a,a,DET
hint,hint,NOUN
of,of,ADP
sadness,sadness,NOUN
",",",",PUNCT
infinitely,infinitely,ADV
transient,transient,NOUN
",",",",PUNCT
infinitely,infinitely,ADV
regretful,regretful,ADJ
.,.,PUNCT
He,he,PRON
remembered,remember,VERB
that,that,SCONJ
an,a,DET
alumnus,alumnus,NOUN
of,of,ADP
the,the,DET
nineties,ninety,NOUN
had,have,AUX
told,tell,VERB
him,he,PRON
of,of,ADP
one,one,NUM
of,of,ADP
Booth,Booth,PROPN
Tarkington,Tarkington,PROPN
's,'s,PART
amusements,amusement,NOUN
:,:,PUNCT
standing,stand,VERB
in,in,ADP
mid-campus,mid-campus,NOUN
in,in,ADP
the,the,DET
small,small,ADJ
hours,hour,NOUN
and,and,CCONJ
singing,sing,VERB
tenor,tenor,NOUN
songs,song,NOUN
to,to,ADP
the,the,DET
stars,star,NOUN
",",",",PUNCT
arousing,arouse,VERB
mingled,mingled,VERB
emotions,emotion,NOUN
in,in,ADP
the,the,DET
couched,couch,VERB
undergraduates,undergraduates,NOUN
according,accord,VERB
to,to,ADP
the,the,DET
sentiment,sentiment,NOUN
of,of,ADP
their,they,PRON
moods,mood,NOUN
.,.,PUNCT
Now,now,ADV
",",",",PUNCT
far,far,ADV
down,down,ADP
the,the,DET
shadowy,shadowy,ADJ
line,line,NOUN
of,of,ADP
University,University,PROPN
Place,place,VERB
a,a,DET
white,white,ADJ
-,-,PUNCT
clad,clad,NOUN
phalanx,phalanx,NOUN
broke,break,VERB
the,the,DET
gloom,gloom,NOUN
",",",",PUNCT
and,and,CCONJ
marching,march,VERB
figures,figure,NOUN
",",",",PUNCT
white,white,ADJ
-,-,PUNCT
shirted,shirted,ADJ
",",",",PUNCT
white,white,ADJ
-,-,PUNCT
trousered,trousere,NOUN
",",",",PUNCT
swung,swing,VERB
rhythmically,rhythmically,ADV
up,up,ADP
the,the,DET
street,street,NOUN
",",",",PUNCT
with,with,ADP
linked,link,VERB
arms,arm,NOUN
and,and,CCONJ
heads,head,NOUN
thrown,throw,VERB
back,back,ADV
:,:,PUNCT
"""","""",PUNCT
Going,go,VERB
back,back,ADV
--,--,PUNCT
going,go,VERB
back,back,ADV
",",",",PUNCT
Going,go,VERB
--,--,PUNCT
back,back,ADV
--,--,PUNCT
to,to,ADP
--Nas-sau--Hall,--Nas-sau--Hall,PROPN
",",",",PUNCT
Going,go,VERB
back,back,ADV
--,--,PUNCT
going,go,VERB
back,back,ADV
--,--,PUNCT
To,to,ADP
the,the,DET
--Best,--Best,PROPN
--Old,--Old,PROPN
--Place,--Place,PROPN
--of,--of,ADP
--All.,--All.,PROPN
Going,go,VERB
back,back,ADV
--,--,PUNCT
going,go,VERB
back,back,ADV
",",",",PUNCT
From,from,ADP
all,all,DET
--,--,PUNCT
this,this,PRON
--,--,PUNCT
earth,earth,X
-,-,X
ly--,ly--,X
ball,ball,NOUN
",",",",PUNCT
We'll,We'll,INTJ
--,--,PUNCT
clear,clear,ADJ
--,--,PUNCT
the,the,DET
--track--as--we--go--back--,--track--as--we--go--back--,SYM
Going,go,VERB
--,--,PUNCT
back,back,ADV
--,--,PUNCT
to,to,ADP
--Nas-sau--Hall!,--Nas-sau--Hall!,PROPN
"""","""",PUNCT
Amory,Amory,PROPN
closed,close,VERB
his,he,PRON
eyes,eye,NOUN
as,as,ADP
the,the,DET
ghostly,ghostly,ADJ
procession,procession,NOUN
drew,drew,VERB
near,near,ADV
.,.,PUNCT
The,the,DET
song,song,NOUN
soared,soar,VERB
so,so,ADV
high,high,ADJ
that,that,SCONJ
all,all,DET
dropped,drop,VERB
out,out,ADP
except,except,ADP
the,the,DET
tenors,tenor,NOUN
",",",",PUNCT
who,who,PRON
bore,bear,VERB
the,the,DET
melody,melody,VERB
triumphantly,triumphantly,ADV
past,past,ADP
the,the,DET
danger,danger,NOUN
-,-,PUNCT
point,point,NOUN
and,and,CCONJ
relinquished,relinquish,VERB
it,it,PRON
to,to,ADP
the,the,DET
fantastic,fantastic,ADJ
chorus,chorus,NOUN
.,.,PUNCT
Then,then,ADV
Amory,Amory,PROPN
opened,open,VERB
his,he,PRON
eyes,eye,NOUN
",",",",PUNCT
half,half,X
afraid,afraid,ADJ
that,that,SCONJ
sight,sight,NOUN
would,would,AUX
spoil,spoil,VERB
the,the,DET
rich,rich,ADJ
illusion,illusion,NOUN
of,of,ADP
harmony,harmony,NOUN
.,.,PUNCT
He,he,PRON
sighed,sigh,VERB
eagerly,eagerly,ADV
.,.,PUNCT
There,there,PRON
at,at,ADP
the,the,DET
head,head,NOUN
of,of,ADP
the,the,DET
white,white,ADJ
platoon,platoon,NOUN
